Capital,Latitude,Longitude
Austria,47.5162,14.5501
Belgium,50.5011,4.4767
Bulgaria,42.6079,25.4857
Croatia,45.8150,16.2426
Cyprus,35.0420,33.2131
Czech Republic,49.8167,15.4749
Denmark,56.0000,10.0000
Estonia,58.6943,25.6880
Finland,64.0000,26.0000
France,46.6034,1.8883
Germany,51.1657,10.4515
Greece,38.9954,22.0556
Hungary,47.1625,19.5033
Ireland,53.1755,-8.1997
Italy,41.8719,12.5674
Latvia,56.8796,24.6032
Lithuania,55.3500,23.7500
Luxembourg,49.8153,6.1296
Malta,35.8989,14.5146
Netherlands,52.1326,5.2913
Poland,52.0000,20.0000
Portugal,39.5572,-7.8563
Romania,46.0000,25.0000
Slovakia,48.6690,19.6990
Slovenia,46.1512,14.9955
Spain,40.2085,-3.7130
Sweden,62.3908,16.3190

