YEAR,COUNTRY_ID,RATE,UPDATE_STATUS,UPDATE_TIME
2019,Belgium,88.47,FINAL,2019-09-25 18:12
2019,Bulgaria,32.64,FINAL,2019-06-03 11:52
2019,Czech Republic,28.72,FINAL,2019-05-27 01:28
2019,Denmark,66.08,FINAL,2019-09-25 18:12
2019,Germany,61.38,FINAL,2019-06-24 15:14
2019,Estonia,37.6,FINAL,2019-05-27 01:28
2019,Ireland,49.7,FINAL,2019-05-28 14:38
2019,Greece,58.69,FINAL,2019-06-26 14:59
2019,Spain,60.73,FINAL,2019-06-18 16:24
2019,France,50.12,FINAL,2019-05-27 10:18
2019,Italy,54.5,FINAL,2019-09-25 18:12
2019,Cyprus,44.99,FINAL,2019-05-27 01:28
2019,Latvia,33.53,FINAL,2019-06-04 15:48
2019,Lithuania,53.48,FINAL,2019-09-25 18:12
2019,Luxemburgh,84.24,FINAL,2019-06-17 16:13
2019,Hungary,43.36,FINAL,2019-06-17 16:13
2019,Malta,72.7,FINAL,2019-05-27 10:18
2019,Netherlands,41.93,FINAL,2019-06-06 12:05
2019,Austria,59.8,FINAL,2019-05-28 14:38
2019,Poland,45.68,FINAL,2019-05-27 15:05
2019,Portugal,30.75,FINAL,2019-06-24 15:14
2019,Romania,51.2,FINAL,2019-09-25 18:12
2019,Slovenia,28.89,FINAL,2019-06-04 15:48
2019,Slovakia,22.74,FINAL,2019-05-27 01:28
2019,Finland,40.8,FINAL,2019-09-25 18:12
2019,Sweden,55.27,FINAL,2019-06-03 11:52
2019,United Kingdom,37.18,FINAL,2019-10-22 11:30
2019,Croatia,29.85,FINAL,2019-09-25 18:12
